player_name,positive,negative,neutral,compound,num_tweets,pos,id,avg_sentiment
Christian McCaffrey,0.245,0.0,6.755,0.45899999999999996,7.0,RB,chr_mccaffrey_rb,0.06557142857142857
Saquon Barkley,1.306,0.711,10.982999999999999,1.6614,13.0,RB,saq_barkley_rb,0.1278
Ezekiel Elliott,0.259,0.145,3.596,0.1255,4.0,RB,eze_elliott_rb,0.031375
Alvin Kamara,0.173,0.0,6.827,0.5574,7.0,RB,alv_kamara_rb,0.07962857142857142
Michael Thomas,0.5800000000000001,0.35,9.071,0.6498999999999999,10.0,WR,mic_thomas_wr,0.06498999999999999
Dalvin Cook,1.137,0.915,7.9479999999999995,1.4031,10.0,RB,dal_cook_rb,0.14031
Clyde Edwards-Helaire,0.333,0.0,4.667,0.5423,5.0,RB,cly_edwardshelaire_rb,0.10846
Derrick Henry,0.7170000000000001,0.0,12.283,1.9462000000000002,13.0,RB,der_henry_rb,0.14970769230769232
Josh Jacobs,1.0830000000000002,0.609,9.308,1.9164000000000003,11.0,RB,jos_jacobs_rb,0.17421818181818186
Davante Adams,1.1909999999999998,1.5179999999999998,14.290999999999999,-0.10459999999999997,17.0,WR,dav_adams_wr,-0.006152941176470587
Joe Mixon,1.4649999999999999,0.659,15.876,1.853,18.0,RB,joe_mixon_rb,0.10294444444444445
Miles Sanders,1.998,1.3099999999999998,20.692,1.9856000000000003,24.0,RB,mil_sanders_rb,0.08273333333333334
Austin Ekeler,0.325,0.0,6.674999999999999,0.8652,7.0,RB,aus_ekeler_rb,0.1236
Julio Jones,0.8300000000000001,1.0510000000000002,7.119000000000001,0.15789999999999993,9.0,WR,jul_jones_wr,0.017544444444444435
Kenyan Drake,2.1580000000000004,0.142,13.7,3.2881,16.0,RB,ken_drake_rb,0.20550625
Tyreek Hill,0.262,0.375,5.3629999999999995,-0.6064999999999999,6.0,WR,tyr_hill_wr,-0.10108333333333332
Nick Chubb,0.603,0.44,9.956999999999999,0.6357,11.0,RB,nic_chubb_rb,0.057790909090909094
Aaron Jones,0.8300000000000001,1.0510000000000002,7.119000000000001,0.15789999999999993,9.0,RB,aar_jones_rb,0.017544444444444435
DeAndre Hopkins,0.14,0.172,5.688,-0.1531,6.0,WR,dea_hopkins_wr,-0.02551666666666667
Pat Mahomes,0.8210000000000002,0.596,8.583,1.0756999999999999,10.0,QB,pat_mahomes_qb,0.10756999999999999
Travis Kelce,0.737,0.096,7.167,1.8055999999999999,8.0,TE,tra_kelce_te,0.22569999999999998
Chris Godwin,0.42800000000000005,0.21799999999999997,10.354,0.3176,11.0,WR,chr_godwin_wr,0.028872727272727272
James Conner,1.324,0.627,10.048,1.0292000000000001,12.0,RB,jam_conner_rb,0.08576666666666667
Lamar Jackson,0.581,1.164,22.255000000000003,-0.6600000000000001,24.0,QB,lam_jackson_qb,-0.027500000000000007
George Kittle,0.358,0.0,8.642,0.9306000000000001,9.0,TE,geo_kittle_te,0.1034
Chris Carson,1.1440000000000001,0.276,8.579,0.9779,10.0,RB,chr_carson_rb,0.09779
Kenny Golladay,0.417,0.0,7.583,1.1467,8.0,WR,ken_golladay_wr,0.1433375
Mike Evans,0.605,0.344,6.051,0.383,7.0,WR,mik_evans_wr,0.054714285714285715
David Johnson,0.0,0.43299999999999994,5.567,-0.9205,6.0,RB,dav_johnson_rb,-0.15341666666666667
Todd Gurley,0.399,0.357,4.244,0.21050000000000002,5.0,RB,tod_gurley_rb,0.042100000000000005
Adam Thielen,0.449,0.149,8.402000000000001,0.6353,9.0,WR,ada_thielen_wr,0.07058888888888888
LeVeon Bell,0.191,0.355,10.454,-0.5582,11.0,RB,lev_bell_rb,-0.050745454545454545
Allen Robinson,0.34199999999999997,0.256,6.402,0.16569999999999996,7.0,WR,all_robinson_wr,0.023671428571428565
D.J. Moore,1.004,0.342,7.654,1.2536,9.0,WR,dj_moore_wr,0.1392888888888889
Leonard Fournette,0.34199999999999997,0.346,5.311999999999999,0.10780000000000003,6.0,RB,leo_fournette_rb,0.017966666666666672
Jonathan Taylor,0.816,0.588,11.594999999999999,1.133,13.0,RB,jon_taylor_rb,0.08715384615384615
Odell Beckham Jr,0.0,0.0,0.0,0.0,0.0,WR,ode_beckham_wr,
JuJu Smith-Schuster,0.0,0.0,1.0,0.0,1.0,WR,juj_smithschuster_wr,0.0
Amari Cooper,0.141,0.0,5.859,0.2023,6.0,WR,ama_cooper_wr,0.033716666666666666
Melvin Gordon,0.9420000000000001,1.452,11.606,-0.5511999999999998,14.0,RB,mel_gordon_rb,-0.03937142857142856
Cooper Kupp,0.619,0.209,7.173,1.0624,8.0,WR,coo_kupp_wr,0.1328
Calvin Ridley,0.332,0.0,7.668,0.4046,8.0,WR,cal_ridley_wr,0.050575
Robert Woods,0.101,0.0,3.899,0.2023,4.0,WR,rob_woods_wr,0.050575
Mark Andrews,0.32199999999999995,0.12,2.558,0.5758,3.0,TE,mar_andrews_te,0.19193333333333332
Mark Ingram,0.0,0.0,4.0,0.0,4.0,RB,mar_ingram_rb,0.0
A.J. Brown,0.52,0.499,8.981000000000002,0.7598,10.0,WR,aj_brown_wr,0.07598
D.K. Metcalf,0.0,0.0,2.0,0.0,2.0,WR,dk_metcalf_wr,0.0
D.J. Chark,0.359,0.0,2.641,0.6808,3.0,WR,dj_chark_wr,0.22693333333333332
Devin Singletary,0.426,0.0,2.574,0.6368,3.0,RB,dev_singletary_rb,0.2122666666666667
Tyler Lockett,0.2,0.0,2.8,0.3597,3.0,WR,tyl_lockett_wr,0.1199
Raheem Mostert,0.0,0.0,3.0,0.0,3.0,RB,rah_mostert_rb,0.0
Terry McLaurin,0.075,0.118,4.807,-0.26280000000000003,5.0,WR,ter_mclaurin_wr,-0.05256000000000001
Zach Ertz,0.264,0.114,2.622,0.4374,3.0,TE,zac_ertz_te,0.1458
David Montgomery,0.243,0.611,8.146,-0.9481999999999999,9.0,RB,dav_montgomery_rb,-0.10535555555555555
Keenan Allen,0.571,0.177,7.252,0.7681,8.0,WR,kee_allen_wr,0.0960125
Kareem Hunt,0.514,0.153,6.333,0.9385,7.0,RB,kar_hunt_rb,0.13407142857142856
Cam Akers,0.824,0.167,5.009,1.0,6.0,RB,cam_akers_rb,0.16666666666666666
Dak Prescott,0.381,0.162,3.4570000000000003,0.6808,4.0,QB,dak_prescott_qb,0.1702
Ronald Jones II,0.0,0.255,1.745,-0.4767,2.0,RB,ron_jones_rb,-0.23835
T.Y. Hilton,0.0,0.0,1.0,0.0,1.0,WR,ty_hilton_wr,0.0
Courtland Sutton,0.0,0.0,2.0,0.0,2.0,WR,cou_sutton_wr,0.0
D'Andre Swift,1.329,0.7120000000000001,3.9579999999999997,0.24469999999999997,6.0,RB,dan_swift_rb,0.04078333333333333
Marquise Brown,0.52,0.499,8.981000000000002,0.7598,10.0,WR,mar_brown_wr,0.07598
Russell Wilson,0.95,0.608,5.442,0.10429999999999995,7.0,QB,rus_wilson_qb,0.014899999999999993
Darren Waller,0.0,0.121,2.879,-0.296,3.0,TE,dar_waller_te,-0.09866666666666667
Kyler Murray,0.524,0.29400000000000004,8.181999999999999,0.17350000000000004,9.0,QB,kyl_murray_qb,0.019277777777777783
Stefon Diggs,1.623,0.879,4.4990000000000006,1.0609,7.0,WR,ste_diggs_wr,0.15155714285714286
DeVante Parker,0.221,0.456,3.323,0.06799999999999995,4.0,WR,dev_parker_wr,0.016999999999999987
J.K. Dobbins,0.688,0.167,7.145,0.8750000000000001,8.0,RB,jk_dobbins_rb,0.10937500000000001
A.J. Green,0.551,0.106,4.343,0.4722,5.0,WR,aj_green_wr,0.09444
Deshaun Watson,0.759,0.133,5.108,0.7739,6.0,QB,des_watson_qb,0.12898333333333334
Will Fuller,0.88,0.118,7.002,1.0693000000000001,8.0,WR,wil_fuller_wr,0.13366250000000002
Rob Gronkowski,0.0,0.25,0.75,-0.4588,1.0,TE,rob_gronkowski_te,-0.4588
James White,0.221,0.0,0.779,0.5267,1.0,RB,jam_white_rb,0.5267
Michael Gallup,0.0,0.23399999999999999,3.766,-0.7804,4.0,WR,mic_gallup_wr,-0.1951
Marlon Mack,0.7090000000000001,1.087,12.203,-0.5075999999999999,14.0,RB,mar_mack_rb,-0.036257142857142856
Evan Engram,0.563,0.0,2.437,1.0724,3.0,TE,eva_engram_te,0.35746666666666665
Julian Edelman,0.0,0.0,0.0,0.0,0.0,WR,jul_edelman_wr,
Tyler Boyd,0.0,0.098,1.9020000000000001,-0.0516,2.0,WR,tyl_boyd_wr,-0.0258
Hayden Hurst,0.28800000000000003,0.309,4.4030000000000005,-0.2944,5.0,TE,hay_hurst_te,-0.05888
Jordan Howard,1.163,0.0,8.837,2.2142,10.0,RB,jor_howard_rb,0.22142
Antonio Gibson,0.365,0.11,6.525,0.5887,7.0,RB,ant_gibson_rb,0.0841
Drew Brees,0.372,0.965,4.662999999999999,-1.5627,6.0,QB,dre_brees_qb,-0.26045
Brandin Cooks,0.0,0.0,1.0,0.0,1.0,WR,bra_cooks_wr,0.0
Phillip Lindsay,0.0,0.0,1.0,0.0,1.0,RB,phi_lindsay_rb,0.0
Tarik Cohen,1.045,0.077,8.878,2.284,10.0,RB,tar_cohen_rb,0.2284
Jarvis Landry,0.0,0.0,2.0,0.0,2.0,WR,jar_landry_wr,0.0
Matt Ryan,1.9000000000000001,1.5130000000000001,14.587000000000002,0.6028,18.0,QB,mat_ryan_qb,0.03348888888888889
Zack Moss,0.099,0.0,3.901,0.1901,4.0,RB,zac_moss_rb,0.047525
Tom Brady,1.208,0.819,9.973,1.733,12.0,QB,tom_brady_qb,0.14441666666666667
Diontae Johnson,0.0,0.43299999999999994,5.567,-0.9205,6.0,WR,dio_johnson_wr,-0.15341666666666667
Deebo Samuel,0.7929999999999999,0.268,4.939,0.7922,6.0,WR,dee_samuel_wr,0.13203333333333334
Tyler Higbee,0.0,0.0,1.0,0.0,1.0,TE,tyl_higbee_te,0.0
Matt Breida,0.0,0.0,0.0,0.0,0.0,RB,mat_breida_rb,
Aaron Rodgers,0.976,1.224,16.8,-0.45199999999999985,19.0,QB,aar_rodgers_qb,-0.023789473684210517
Marvin Jones,0.8300000000000001,1.0510000000000002,7.119000000000001,0.15789999999999993,9.0,WR,mar_jones_wr,0.017544444444444435
CeeDee Lamb,0.764,0.18,10.056000000000001,1.5202,11.0,WR,cee_lamb_wr,0.1382
Tevin Coleman,0.243,0.0,2.757,0.3794,3.0,RB,tev_coleman_rb,0.12646666666666667
Alexander Mattison,0.0,0.155,0.845,-0.296,1.0,RB,ale_mattison_rb,-0.296
Latavius Murray,0.524,0.29400000000000004,8.181999999999999,0.17350000000000004,9.0,RB,lat_murray_rb,0.019277777777777783
Hunter Henry,0.8,0.0,13.200000000000001,2.1485,14.0,TE,hun_henry_te,0.1534642857142857
Emmanuel Sanders,1.998,1.3099999999999998,20.692,1.9856000000000003,24.0,WR,emm_sanders_wr,0.08273333333333334
Kerryon Johnson,0.0,0.43299999999999994,5.567,-0.9205,6.0,RB,ker_johnson_rb,-0.15341666666666667
Jamison Crowder,0.2,0.0,0.8,0.4588,1.0,WR,jam_crowder_wr,0.4588
Josh Allen,0.571,0.177,7.252,0.7681,8.0,QB,jos_allen_qb,0.0960125
Damien Harris,0.863,0.20900000000000002,15.927999999999999,1.0429000000000002,17.0,RB,dam_harris_rb,0.06134705882352942
Chase Edmonds,0.5940000000000001,0.0,3.406,1.1181,4.0,RB,cha_edmonds_rb,0.279525
Henry Ruggs III,0.0,0.0,0.0,0.0,0.0,WR,hen_ruggs_wr,
Carson Wentz,1.189,0.8480000000000001,6.963,-0.19070000000000004,9.0,QB,car_wentz_qb,-0.021188888888888893
Mecole Hardman,0.0,0.0,1.0,0.0,1.0,WR,mec_hardman_wr,0.0
Sony Michel,0.581,0.099,7.32,0.8885999999999998,8.0,RB,son_michel_rb,0.11107499999999998
Jalen Reagor,0.13,0.118,5.752000000000001,-0.13770000000000002,6.0,WR,jal_reagor_wr,-0.02295
Matthew Stafford,2.123,0.925,14.952,2.0165,18.0,QB,mat_stafford_qb,0.11202777777777778
Darius Slayton,0.191,0.174,2.6350000000000002,0.28430000000000005,3.0,WR,dar_slayton_wr,0.09476666666666668
A.J. Dillon,0.0,0.0,2.0,0.0,2.0,RB,aj_dillon_rb,0.0
Jared Cook,1.137,0.915,7.9479999999999995,1.4031,10.0,TE,jar_cook_te,0.14031
Jerry Jeudy,0.0,0.0,1.0,0.0,1.0,WR,jer_jeudy_wr,0.0
Darrell Henderson,0.435,0.504,3.0620000000000003,-0.12800000000000006,4.0,RB,dar_henderson_rb,-0.032000000000000015
Christian Kirk,1.8210000000000002,2.5460000000000003,20.632999999999996,-0.8787000000000001,25.0,WR,chr_kirk_wr,-0.035148000000000006
Adrian Peterson,0.203,0.0,3.797,0.4215,4.0,RB,adr_peterson_rb,0.105375
Tony Pollard,0.0,0.11,1.8900000000000001,-0.2732,2.0,RB,ton_pollard_rb,-0.1366
Noah Fant,0.0,0.0,2.0,0.0,2.0,TE,noa_fant_te,0.0
Cam Newton,1.113,0.55,5.337,1.4013,7.0,QB,cam_newton_qb,0.20018571428571427
Sterling Shepard,0.0,0.0,1.0,0.0,1.0,WR,ste_shepard_wr,0.0
Boston Scott,0.231,0.315,3.454,-0.19019999999999998,4.0,RB,bos_scott_rb,-0.047549999999999995
Justin Jefferson,1.521,0.661,10.817999999999998,1.4828,13.0,WR,jus_jefferson_wr,0.11406153846153845
Bryce Love,11.594,0.435,13.971999999999998,18.520699999999998,26.0,RB,bry_love_rb,0.7123346153846153
Daniel Jones,0.8300000000000001,1.0510000000000002,7.119000000000001,0.15789999999999993,9.0,QB,dan_jones_qb,0.017544444444444435
Anthony Miller,0.0,0.45399999999999996,6.546,-0.9429000000000001,7.0,WR,ant_miller_wr,-0.13470000000000001
DeSean Jackson,0.581,1.164,22.255000000000003,-0.6600000000000001,24.0,WR,des_jackson_wr,-0.027500000000000007
Ben Roethlisberger,0.242,0.191,1.5670000000000002,-0.017900000000000027,2.0,QB,ben_roethlisberger_qb,-0.008950000000000014
Ke'Shawn Vaughn,0.0,0.774,1.226,-0.9439,2.0,RB,,-0.47195
Preston Williams,1.808,0.9709999999999999,12.220999999999998,1.9088999999999998,15.0,WR,pre_williams_wr,0.12725999999999998
Allen Lazard,0.0,0.155,2.8449999999999998,-0.296,3.0,WR,all_lazard_wr,-0.09866666666666667
Brandon Aiyuk,0.119,0.706,8.175,-1.3635,9.0,WR,bra_aiyuk_wr,-0.1515
Duke Johnson,0.0,0.43299999999999994,5.567,-0.9205,6.0,RB,duk_johnson_rb,-0.15341666666666667
Austin Hooper,0.621,0.121,3.258,0.6234999999999999,4.0,TE,aus_hooper_te,0.15587499999999999
Joe Burrow,1.7540000000000002,0.42,9.826,2.8192,12.0,QB,joe_burrow_qb,0.23493333333333333
Justin Jackson,0.581,1.164,22.255000000000003,-0.6600000000000001,24.0,RB,jus_jackson_rb,-0.027500000000000007
Sammy Watkins,0.28,0.219,2.501,0.12080000000000002,3.0,WR,sam_watkins_wr,0.04026666666666667
Baker Mayfield,0.23,0.128,0.641,0.3804,1.0,QB,bak_mayfield_qb,0.3804
Nyheim Hines,0.182,0.0,1.818,0.4404,2.0,RB,nyh_hines_rb,0.2202
T.J. Hockenson,0.0,0.0,2.0,0.0,2.0,TE,tj_hockenson_te,0.0
Golden Tate,1.478,0.0,7.522,3.5751,9.0,WR,gol_tate_wr,0.3972333333333333
Mike Gesicki,0.0,0.216,0.784,-0.5267,1.0,TE,mik_gesicki_te,-0.5267
Jared Goff,0.249,0.219,3.533,0.128,4.0,QB,jar_goff_qb,0.032
John Brown,0.52,0.499,8.981000000000002,0.7598,10.0,WR,joh_brown_wr,0.07598
Michael Pittman Jr.,0.0,0.0,0.0,0.0,0.0,WR,mic_pittman_wr,
Breshad Perriman,0.0,0.353,1.647,-0.6652,2.0,WR,bre_perriman_wr,-0.3326
Chris Herndon IV,0.0,0.0,0.0,0.0,0.0,TE,chr_herndon_te,
Jonnu Smith,0.24000000000000002,0.625,10.135,-0.7855000000000001,11.0,TE,jon_smith_te,-0.07140909090909092
Jack Doyle,0.167,0.237,2.596,0.0373,3.0,TE,jac_doyle_te,0.012433333333333333
Benny Snell Jr.,0.0,0.0,0.0,0.0,0.0,RB,ben_snell_rb,
Jerick McKinnon,0.0,0.0,3.0,0.0,3.0,RB,jer_mckinnon_rb,0.0
Eric Ebron,0.0,0.0,2.0,0.0,2.0,TE,eri_ebron_te,0.0
Blake Jarwin,0.362,0.384,2.254,0.4188,3.0,TE,bla_jarwin_te,0.1396
Joshua Kelley,0.101,0.155,2.7439999999999998,-0.09369999999999998,3.0,RB,jos_kelley_rb,-0.031233333333333325
Carlos Hyde,0.116,0.0,2.884,0.3612,3.0,RB,car_hyde_rb,0.12040000000000001
DeAndre Washington,0.997,1.027,12.977,-0.0857,15.0,RB,dea_washington_rb,-0.005713333333333333
LeSean McCoy,0.62,0.403,2.977,0.7906,4.0,RB,les_mccoy_rb,0.19765
Ryan Tannehill,0.226,0.0,2.774,0.5423,3.0,QB,rya_tannehill_qb,0.18076666666666666
Darrel Williams,1.808,0.9709999999999999,12.220999999999998,1.9088999999999998,15.0,RB,dar_williams_rb,0.12725999999999998
Chris Thompson,0.306,0.204,3.49,-0.25320000000000004,4.0,RB,chr_thompson_rb,-0.06330000000000001
Anthony McFarland Jr.,0.0,0.0,1.0,0.0,1.0,RB,ant_mcfarland_rb,0.0
N'Keal Harry,0.0,0.0,0.0,0.0,0.0,WR,nke_harry_wr,
Hunter Renfrow,0.0,0.0,0.0,0.0,0.0,WR,hun_renfrow_wr,
Jimmy Garoppolo,0.244,0.0,1.756,0.4404,2.0,QB,jim_garoppolo_qb,0.2202
Drew Lock,0.0,0.0,7.0,0.0,7.0,QB,dre_lock_qb,0.0
Gardner Minshew,1.062,0.277,12.661,1.8228,14.0,QB,gar_minshew_qb,0.1302
Mike Williams,1.808,0.9709999999999999,12.220999999999998,1.9088999999999998,15.0,WR,mik_williams_wr,0.12725999999999998
