rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,start_sit_grade,pos_map,tiers
1,Alvin Kamara,vs. CAR,1.0,18.0,1.13,0.7,24.7,FLEX,1,NO,,RB,1
2,Derrick Henry,vs. PIT,2.0,9.0,2.69,1.38,19.1,FLEX,2,TEN,,RB,1
3,Ezekiel Elliott,at WAS,1.0,6.0,3.28,0.87,20.0,FLEX,3,DAL,,RB,1
4,Kareem Hunt,at CIN,1.0,20.0,4.88,0.96,20.2,FLEX,4,CLE,,RB,1
5,Mike Davis,at NO,2.0,19.0,6.75,3.47,19.7,FLEX,5,CAR,,RB,1
6,Chris Carson,at ARI,3.0,12.0,6.81,2.26,16.8,FLEX,6,SEA,,RB,1
7,James Conner,at TEN,4.0,23.0,8.09,2.59,17.4,FLEX,7,PIT,,RB,1
8,Davante Adams,at HOU,7.0,17.0,8.66,2.43,22.5,FLEX,1,GB,,WR,1
9,DeAndre Hopkins,vs. SEA,7.0,21.0,10.47,3.76,21.7,FLEX,2,ARI,,WR,1
10,Josh Jacobs,vs. TB,4.0,34.0,11.81,6.05,15.7,FLEX,8,LV,,RB,1
11,James Robinson,at LAC,6.0,27.0,12.16,1.7,15.7,FLEX,9,JAC,,RB,1
12,Todd Gurley II,vs. DET,6.0,28.0,12.31,1.67,16.6,FLEX,10,ATL,,RB,1
13,Ronald Jones II,at LV,6.0,18.0,13.34,1.59,16.5,FLEX,11,TB,,RB,1
14,Clyde Edwards-Helaire,at DEN,4.0,51.0,15.34,3.1,16.5,FLEX,12,KC,,RB,2
15,David Montgomery,at LAR,9.0,41.0,16.91,6.76,15.3,FLEX,13,CHI,,RB,2
16,David Johnson,vs. GB,12.0,49.0,17.22,3.51,15.7,FLEX,14,HOU,,RB,2
17,Julio Jones,vs. DET,3.0,33.0,17.5,3.01,20.0,FLEX,3,ATL,,WR,2
18,Calvin Ridley,vs. DET,7.0,31.0,18.22,2.94,18.9,FLEX,4,ATL,,WR,2
19,Kenny Golladay,at ATL,5.0,22.0,19.13,1.63,18.0,FLEX,5,DET,,WR,2
20,D.K. Metcalf,at ARI,4.0,36.0,19.44,4.53,18.3,FLEX,6,SEA,,WR,2
21,Tyreek Hill,at DEN,7.0,41.0,19.88,4.34,17.7,FLEX,7,KC,,WR,2
22,Stefon Diggs,at NYJ,14.0,27.0,21.75,2.51,18.1,FLEX,8,BUF,,WR,2
23,A.J. Brown,vs. PIT,21.0,29.0,24.78,2.51,16.9,FLEX,9,TEN,,WR,2
24,Kenyan Drake,vs. SEA,18.0,43.0,26.5,5.07,14.7,FLEX,15,ARI,,RB,2
25,Terry McLaurin,vs. DAL,16.0,32.0,26.94,2.9,17.2,FLEX,10,WAS,,WR,2
26,Tyler Lockett,at ARI,10.0,47.0,30.03,4.43,17.0,FLEX,11,SEA,,WR,3
27,Antonio Gibson,vs. DAL,18.0,79.0,30.19,9.59,15.2,FLEX,16,WAS,,RB,4
28,Travis Kelce,at DEN,15.0,55.0,30.88,4.36,17.3,FLEX,1,KC,,TE,3
29,Chris Godwin,at LV,26.0,38.0,31.38,1.92,17.0,FLEX,12,TB,,WR,3
30,Mike Evans,at LV,21.0,48.0,31.41,3.47,16.2,FLEX,13,TB,,WR,3
31,Will Fuller V,vs. GB,16.0,99.0,32.97,3.25,16.5,FLEX,14,HOU,,WR,4
32,D'Andre Swift,at ATL,8.0,61.0,33.06,9.33,13.6,FLEX,17,DET,,RB,3
33,Robby Anderson,at NO,29.0,52.0,35.22,2.75,16.5,FLEX,15,CAR,,WR,3
34,Devin Singletary,at NYJ,24.0,56.0,36.34,7.44,13.1,FLEX,18,BUF,,RB,3
35,Keenan Allen,vs. JAC,9.0,50.0,36.84,3.1,17.7,FLEX,16,LAC,,WR,3
36,Boston Scott,vs. NYG,15.0,65.0,36.84,10.54,13.7,FLEX,19,PHI,,RB,4
37,Allen Robinson II,at LAR,26.0,57.0,37.69,3.45,17.1,FLEX,17,CHI,,WR,3
38,Amari Cooper,at WAS,32.0,46.0,38.06,3.08,15.8,FLEX,18,DAL,,WR,3
39,Justin Jackson,vs. JAC,14.0,92.0,39.06,11.61,13.0,FLEX,20,LAC,,RB,4
40,Cooper Kupp,vs. CHI,37.0,53.0,43.19,3.84,15.9,FLEX,19,LAR,,WR,3
41,Robert Woods,vs. CHI,30.0,62.0,43.38,4.29,15.9,FLEX,20,LAR,,WR,3
42,Odell Beckham Jr.,at CIN,24.0,54.0,44.25,3.08,15.3,FLEX,21,CLE,,WR,3
43,D.J. Moore,at NO,33.0,56.0,44.38,4.08,15.7,FLEX,22,CAR,,WR,3
44,Chase Claypool,at TEN,38.0,52.0,45.81,2.84,15.6,FLEX,23,PIT,,WR,3
45,Darrell Henderson,vs. CHI,24.0,87.0,47.75,10.51,12.0,FLEX,21,LAR,,RB,5
46,CeeDee Lamb,at WAS,38.0,74.0,49.31,3.24,14.9,FLEX,24,DAL,,WR,5
47,Devonta Freeman,at PHI,24.0,67.0,50.59,6.68,11.6,FLEX,22,NYG,,RB,5
48,Jerick McKinnon,at NE,37.0,89.0,52.16,10.33,11.6,FLEX,23,SF,,RB,5
49,Mike Williams,vs. JAC,41.0,76.0,52.34,6.21,13.8,FLEX,25,LAC,,WR,5
50,D.J. Chark Jr.,at LAC,45.0,66.0,52.38,3.29,14.5,FLEX,26,JAC,,WR,5
51,Jamaal Williams,at HOU,3.0,130.0,54.06,38.73,15.1,FLEX,24,GB,,RB,6
52,Tyler Boyd,vs. CLE,42.0,62.0,54.41,3.98,15.2,FLEX,27,CIN,,WR,5
53,Tee Higgins,vs. CLE,35.0,71.0,54.44,3.61,14.4,FLEX,28,CIN,,WR,5
54,George Kittle,at NE,30.0,64.0,54.91,4.69,15.8,FLEX,2,SF,,TE,5
55,Brandin Cooks,vs. GB,39.0,63.0,55.53,4.53,14.3,FLEX,29,HOU,,WR,5
56,Darius Slayton,at PHI,46.0,84.0,55.91,5.68,13.9,FLEX,30,NYG,,WR,5
57,Melvin Gordon III,vs. KC,18.0,116.0,58.13,18.82,11.1,FLEX,25,DEN,,RB,6
58,Darren Waller,vs. TB,30.0,80.0,60.16,5.91,14.3,FLEX,3,LV,,TE,5
59,Joshua Kelley,vs. JAC,40.0,143.0,60.44,17.34,9.0,FLEX,26,LAC,,RB,7
60,Travis Fulgham,vs. NYG,42.0,75.0,61.31,5.79,14.2,FLEX,31,PHI,,WR,5
61,Deebo Samuel,at NE,48.0,86.0,62.44,5.73,13.0,FLEX,32,SF,,WR,5
62,JuJu Smith-Schuster,at TEN,50.0,71.0,62.81,4.21,14.2,FLEX,33,PIT,,WR,5
63,Giovani Bernard,vs. CLE,8.0,159.0,62.88,44.91,13.8,FLEX,27,CIN,,RB,6
64,Adrian Peterson,at ATL,40.0,123.0,65.47,12.34,8.8,FLEX,28,DET,,RB,7
65,T.J. Hockenson,at ATL,55.0,76.0,66.06,3.94,13.4,FLEX,4,DET,,TE,5
66,Hunter Henry,vs. JAC,54.0,91.0,68.09,6.1,11.9,FLEX,5,LAC,,TE,8
67,Christian Kirk,vs. SEA,58.0,94.0,68.72,5.14,13.5,FLEX,34,ARI,,WR,8
68,Michael Gallup,at WAS,56.0,126.0,69.16,10.25,12.0,FLEX,35,DAL,,WR,7
69,Laviska Shenault Jr.,at LAC,62.0,85.0,70.16,5.64,12.4,FLEX,36,JAC,,WR,8
70,Jarvis Landry,at CIN,66.0,97.0,73.19,4.0,12.4,FLEX,37,CLE,,WR,8
71,Tre'Quan Smith,vs. CAR,45.0,137.0,73.97,24.8,11.9,FLEX,38,NO,,WR,7
72,Julian Edelman,vs. SF,66.0,96.0,74.59,5.46,12.7,FLEX,39,NE,,WR,8
73,Phillip Lindsay,vs. KC,43.0,122.0,75.69,19.1,9.9,FLEX,29,DEN,,RB,7
74,Keelan Cole,at LAC,60.0,90.0,76.13,5.76,11.1,FLEX,40,JAC,,WR,8
75,JaMycal Hasty,at NE,49.0,141.0,79.59,16.53,5.8,FLEX,30,SF,,RB,9
76,Latavius Murray,vs. CAR,49.0,144.0,80.84,20.3,8.8,FLEX,31,NO,,RB,9
77,Jared Cook,vs. CAR,59.0,103.0,81.28,9.43,9.9,FLEX,6,NO,,TE,8
78,Rob Gronkowski,at LV,70.0,103.0,81.88,6.92,10.9,FLEX,7,TB,,TE,10
79,Jerry Jeudy,vs. KC,42.0,101.0,82.16,7.29,10.8,FLEX,41,DEN,,WR,7
80,Tim Patrick,vs. KC,48.0,125.0,82.75,11.28,11.3,FLEX,42,DEN,,WR,7
81,A.J. Green,vs. CLE,62.0,101.0,82.84,8.48,10.5,FLEX,43,CIN,,WR,8
82,Chase Edmonds,vs. SEA,51.0,117.0,83.34,12.74,9.0,FLEX,32,ARI,,RB,9
83,Marvin Jones Jr.,at ATL,32.0,99.0,84.28,6.78,9.9,FLEX,44,DET,,WR,7
84,Henry Ruggs III,vs. TB,71.0,118.0,84.56,7.13,9.7,FLEX,45,LV,,WR,10
85,Diontae Johnson,at TEN,52.0,149.0,84.97,19.5,10.7,FLEX,46,PIT,,WR,9
86,Marquez Valdes-Scantling,at HOU,63.0,120.0,86.78,8.25,9.7,FLEX,47,GB,,WR,10
87,Damien Harris,vs. SF,61.0,117.0,87.09,11.68,8.1,FLEX,33,NE,,RB,10
88,Robert Tonyan,at HOU,64.0,131.0,88.56,13.55,11.2,FLEX,8,GB,,TE,10
89,Cole Beasley,at NYJ,54.0,99.0,89.13,7.71,11.1,FLEX,48,BUF,,WR,8
90,Evan Engram,at PHI,64.0,108.0,90.03,9.15,11.2,FLEX,9,NYG,,TE,10
91,Brandon Aiyuk,at NE,82.0,109.0,90.13,6.3,9.3,FLEX,49,SF,,WR,10
92,James White,vs. SF,37.0,132.0,91.03,17.91,13.0,FLEX,34,NE,,RB,7
93,Frank Gore,vs. BUF,67.0,136.0,92.28,15.91,8.3,FLEX,35,NYJ,,RB,10
94,Breshad Perriman,vs. BUF,68.0,121.0,93.59,10.52,9.2,FLEX,50,NYJ,,WR,10
95,Mecole Hardman,at DEN,68.0,146.0,96.88,14.05,8.5,FLEX,51,KC,,WR,11
96,Noah Fant,vs. KC,50.0,127.0,99.06,9.49,8.7,FLEX,10,DEN,,TE,9
97,James Washington,at TEN,84.0,116.0,99.09,10.28,8.9,FLEX,52,PIT,,WR,10
98,Randall Cobb,vs. GB,90.0,144.0,99.47,4.16,9.2,FLEX,53,HOU,,WR,11
99,Demarcus Robinson,at DEN,88.0,116.0,100.38,5.57,8.8,FLEX,54,KC,,WR,12
100,Malcolm Brown,vs. CHI,79.0,143.0,100.78,14.02,6.4,FLEX,36,LAR,,RB,11
101,Jonnu Smith,vs. PIT,51.0,174.0,101.19,28.94,9.0,FLEX,11,TEN,,TE,9
102,Corey Davis,vs. PIT,72.0,152.0,103.34,12.86,8.7,FLEX,55,TEN,,WR,11
103,Jimmy Graham,at LAR,89.0,129.0,104.38,5.07,9.3,FLEX,12,CHI,,TE,12
104,Hayden Hurst,vs. DET,74.0,121.0,104.88,7.22,8.5,FLEX,13,ATL,,TE,10
105,Darren Fells,vs. GB,69.0,147.0,104.91,9.32,8.4,FLEX,14,HOU,,TE,11
106,Eric Ebron,at TEN,89.0,121.0,105.59,5.06,8.1,FLEX,15,PIT,,TE,12
107,DeSean Jackson,vs. NYG,85.0,150.0,106.75,12.4,8.0,FLEX,56,PHI,,WR,11
108,Russell Gage,vs. DET,82.0,142.0,108.44,6.02,9.0,FLEX,57,ATL,,WR,11
109,Damiere Byrd,vs. SF,94.0,127.0,109.41,7.27,8.2,FLEX,58,NE,,WR,12
110,N'Keal Harry,vs. SF,93.0,124.0,109.44,6.41,8.1,FLEX,59,NE,,WR,12
111,Golden Tate,at PHI,94.0,124.0,109.56,6.6,8.7,FLEX,60,NYG,,WR,12
112,Zack Moss,at NYJ,79.0,141.0,110.09,11.8,6.4,FLEX,37,BUF,,RB,11
113,Dalton Schultz,at WAS,82.0,161.0,110.66,17.19,9.7,FLEX,16,DAL,,TE,11
114,J.D. McKissic,vs. DAL,79.0,143.0,113.91,13.49,10.7,FLEX,38,WAS,,RB,11
115,Adam Humphries,vs. PIT,94.0,160.0,114.34,6.77,8.3,FLEX,61,TEN,,WR,11
116,Hunter Renfrow,vs. TB,87.0,160.0,118.81,9.82,8.1,FLEX,62,LV,,WR,11
117,Le'Veon Bell,at DEN,83.0,165.0,121.41,16.66,7.0,FLEX,39,KC,,RB,11
118,Anthony Miller,at LAR,111.0,148.0,122.75,11.24,7.6,FLEX,63,CHI,,WR,13
119,Greg Ward,vs. NYG,103.0,142.0,123.06,8.14,7.9,FLEX,64,PHI,,WR,13
120,Lamical Perine,vs. BUF,87.0,141.0,123.69,10.5,6.7,FLEX,40,NYJ,,RB,11
121,Dontrelle Inman,vs. DAL,90.0,148.0,123.81,15.19,7.4,FLEX,65,WAS,,WR,13
122,Gabriel Davis,at NYJ,75.0,172.0,118.45,27.86,7.9,FLEX,66,BUF,,WR,11
123,Darnell Mooney,at LAR,109.0,142.0,125.25,8.45,8.0,FLEX,67,CHI,,WR,13
124,Tyler Higbee,vs. CHI,103.0,138.0,126.41,6.9,7.6,FLEX,17,LAR,,TE,13
125,Logan Thomas,vs. DAL,107.0,139.0,129.34,4.05,7.3,FLEX,18,WAS,,TE,13
126,Danny Amendola,at ATL,115.0,151.0,129.81,10.97,7.8,FLEX,68,DET,,WR,13
127,Brian Hill,vs. DET,117.0,147.0,130.22,4.75,6.2,FLEX,41,ATL,,RB,13
128,Rex Burkhead,vs. SF,97.0,154.0,130.81,8.67,6.7,FLEX,42,NE,,RB,13
129,Larry Fitzgerald,vs. SEA,111.0,150.0,130.81,9.59,7.5,FLEX,69,ARI,,WR,13
130,AJ Dillon,at HOU,67.0,221.0,127.0,55.52,5.1,FLEX,43,GB,,RB,14
131,Leonard Fournette,at LV,87.0,153.0,130.74,12.02,5.8,FLEX,44,TB,,RB,13
132,Kendrick Bourne,at NE,112.0,146.0,125.4,10.63,7.1,FLEX,70,SF,,WR,13
133,Greg Olsen,at ARI,83.0,172.0,139.38,13.94,6.9,FLEX,19,SEA,,TE,15
134,Richard Rodgers,vs. NYG,121.0,182.0,139.81,11.55,7.1,FLEX,20,PHI,,TE,15
135,Nelson Agholor,vs. TB,108.0,159.0,136.19,9.68,7.3,FLEX,71,LV,,WR,13
136,Duke Johnson Jr.,vs. GB,121.0,158.0,142.38,8.52,6.1,FLEX,45,HOU,,RB,15
137,Tony Pollard,at WAS,124.0,171.0,142.78,7.7,5.5,FLEX,46,DAL,,RB,15
138,Andy Isabella,vs. SEA,104.0,158.0,133.93,10.12,6.9,FLEX,72,ARI,,WR,13
139,Scotty Miller,at LV,112.0,175.0,139.9,15.16,6.9,FLEX,73,TB,,WR,15
140,Curtis Samuel,at NO,105.0,159.0,134.4,16.06,7.1,FLEX,74,CAR,,WR,13
141,Corey Clement,vs. NYG,107.0,168.0,145.59,11.46,5.1,FLEX,47,PHI,,RB,15
142,Sterling Shepard,at PHI,82.0,214.0,135.69,28.78,7.0,FLEX,75,NYG,,WR,14
143,Cam Akers,vs. CHI,119.0,202.0,152.69,13.96,4.8,FLEX,48,LAR,,RB,15
144,D'Ernest Johnson,at CIN,92.0,156.0,142.47,13.53,5.7,FLEX,49,CLE,,RB,15
145,David Njoku,at CIN,90.0,192.0,154.88,24.34,5.3,FLEX,21,CLE,,TE,15
146,Gerald Everett,vs. CHI,131.0,183.0,155.56,15.06,5.5,FLEX,22,LAR,,TE,15
147,Cordarrelle Patterson,at LAR,127.0,155.0,141.72,7.09,6.2,FLEX,76,CHI,,WR,15
148,Jeff Smith,vs. BUF,113.0,174.0,142.45,14.45,6.9,FLEX,77,NYJ,,WR,15
149,David Moore,at ARI,74.0,164.0,149.1,8.61,6.3,FLEX,78,SEA,,WR,15
150,Benny Snell Jr.,at TEN,132.0,164.0,150.73,7.69,4.8,FLEX,50,PIT,,RB,15
